合并站名,站组ID,原始分站名,站点ID,经度,纬度
新联,新联,新联,BV11139996,113.980943,23.788012
新联五路(中船大道路口)临时站,新联五路(中船大道路口)临时,新联五路(中船大道路口)临时站,BV09410323,113.432353,22.748775
新联五路(云生四路口)临时站,新联五路(云生四路口)临时,新联五路(云生四路口)临时站,BV09349313,113.439673,22.7488
新联五路中站,新联五路中,新联五路中站,BV09410319,113.435347,22.748795
新联新村站,新联新村,新联新村站,BV10024082,113.376429,22.79292
新联村,新联村#1,新联村,BV09069508,113.257319,23.305524
新联村,新联村#2,新联村,BV11589192,113.789535,23.308693
新联村东,新联村东,新联村东,BV11589188,113.259849,23.310145
新联村委,新联村委,新联村委,BV11451063,113.799337,23.307133
新联村西,新联村西,新联村西,BV11589195,113.256626,23.303504
新聚福,新聚福,新聚福站,BV11688089,113.6108,23.12422
新胜南街,新胜南街,新胜南街,BV11385185,113.350124,23.365657
新苗学校,新苗学校,新苗学校,BV10961578,113.189257,23.0789
新街小学,新街小学,新街小学,BV11477883,113.193749,23.374109
新誉北路口,新誉北路口,新誉北路口,BV09246903,113.648449,23.198019
新誉横路口,新誉横路口,新誉横路口,BV09356205,113.640773,23.195864
新谭路口,新谭路口,新谭路口,BV10019972,113.422601,23.030573
新造二师附小,新造二师附小,新造二师附小,BV10019971,113.419519,23.033914
新造公园,新造公园,新造公园,BV10019970,113.414491,23.038217
新造医院,新造医院,新造医院,BV10019969,113.410595,23.036765
新造职中,新造职中,新造职中,BV10020042,113.42594,23.047601
新造路,新造路,新造路,BV09289090,113.417091,23.045559
新镇地,新镇地,新镇地,BV09367666,113.23463,23.028464
新镇庄,新镇庄,新镇庄,BV10014238,113.235122,23.298719
新队站,新队,新队站,BV10641076,113.329951,22.865341
新阳西路口,新阳西路口,新阳西路口站,BV11690382,113.469017,23.174037
新隅路口,新隅路口,新隅路口,BV11359300,113.50407,23.579806
新隆牌坊,新隆牌坊,新隆牌坊,BV10252035,113.086773,22.935616
新雅街道办,新雅街道办,新雅街道办,BV11345929,113.213269,23.361861
新顺路北,新顺路北,新顺路北,BV10449603,113.291802,23.234448
新顺路南,新顺路南,新顺路南,BV10449605,113.291394,23.231565
新鱼桥头,新鱼桥头,新鱼桥头,BV11365764,113.317884,23.057691
新鸿基市场站,新鸿基市场,新鸿基市场站,BV10017144,113.503057,22.822352
新鸿花园,新鸿花园,新鸿花园站,BV10021647,113.31137,23.107144
新龙大桥东站,新龙大桥东,新龙大桥东站,BV10405407,113.665096,22.639605
新龙特大桥临时站,新龙特大桥临时,新龙特大桥临时站,BV09302149,113.632185,22.632152
方华公路(方坑),方华公路(方坑),方华公路(方坑),BV11589184,113.273132,23.324591
方华公路(高增村),方华公路(高增村),方华公路(高增村),BV11421797,113.296947,23.354611
方华路口,方华路口,方华路口,BV11330433,113.289628,23.340028
方正路中,方正路中,方正路中,BV09326291,113.674654,23.281249
方石村,方石村,方石村,BV10018755,113.280008,23.333259
旅游大厦,旅游大厦,旅游大厦,BV10252348,113.096453,23.03112
旗冚村,旗冚村,旗冚村站,BV09185058,113.543421,23.265793
旗岭,旗岭#1,旗岭,BV11346067,113.494648,23.662026
旗岭,旗岭#2,旗岭站,BV09377933,113.217168,23.468143
旗岭医院,旗岭医院,旗岭医院,BV10019405,113.219638,23.469985
旗岭华严寺总站,旗岭华严寺总,旗岭华严寺总站,BV10527848,113.218099,23.464515
旗岭市场,旗岭市场,旗岭市场,BV11346056,113.216376,23.471023
旗岭市场东,旗岭市场东,旗岭市场东,BV11494159,113.219639,23.469925
旗峰小学,旗峰小学,旗峰小学,BV10252208,113.144873,23.167281
旗峰路南,旗峰路南,旗峰路南,BV10262217,113.769867,23.010421
旗新村,旗新村,旗新村,BV10462375,113.20949,23.47559
旗美村,旗美村,旗美村,BV11271092,113.215182,23.481164
日发市场,日发市场,日发市场,BV11689450,113.124285,23.110052
日田,日田,日田,BV11371478,113.069233,23.173026
日立公司站,日立公司,日立公司站,BV11406673,113.633562,23.179978
旧围村,旧围村,旧围村,BV10017561,113.469103,23.139488
旧寨村,旧寨村,旧寨村站,BV11419918,113.276418,22.81099
旧山吓村,旧山吓村,旧山吓村,BV11463932,113.866419,23.179165
旧水坑中心街,旧水坑中心街,旧水坑中心街,BV10977908,113.394178,22.957259
旧水坑总站,旧水坑总,旧水坑总站,BV10862144,113.394341,22.960882
旧水坑村,旧水坑村,旧水坑村,BV10692701,113.394417,22.960707
旧水坑村口(城区大道),旧水坑村口(城区大道),旧水坑村口(城区大道),BV10023248,113.38987,22.954966
旧水坑村委,旧水坑村委,旧水坑村委,BV10407070,113.39132,22.965047
旧水坑村尾,旧水坑村尾,旧水坑村尾,BV11026442,113.399465,22.964696
旧水坑派出所(旧村南路),旧水坑派出所(旧村南路),旧水坑派出所(旧村南路),BV10023249,113.389432,22.95668
旧江村桥头,旧江村桥头,旧江村桥头,BV11488084,113.23538,23.271354
旧福山村委总站,旧福山村委总,旧福山村委总站,BV10552929,113.510206,23.275808
旧西福桥,旧西福桥,旧西福桥,BV10024246,113.738962,23.207142
旧高埔村,旧高埔村,旧高埔村,BV11119536,113.707317,23.471885
旧黄茅,旧黄茅#1,旧黄茅,BV11632515,113.353487,23.573878
旧黄茅,旧黄茅#2,旧黄茅,BV11352959,113.341554,23.575434
旭日雅苑,旭日雅苑,旭日雅苑,BV11329583,113.352708,23.122167
时代倾城,时代倾城,时代倾城,BV10021578,113.392427,23.000797
时代南湾站,时代南湾,时代南湾站,BV10015873,113.589363,22.786819
时代广动动力电池临时总站,时代广动动力电池临时总,时代广动动力电池临时总站,BV09256512,113.474884,23.01469
时代广场,时代广场#1,时代广场,BV11481123,113.312706,23.143617
时代广场,时代广场#1,时代广场2,BV09309831,113.312706,23.143617
时代广场,时代广场#2,时代广场,BV10253339,113.169519,23.096123
